GLOBALID,OBJECTID,Traffic Calming ID,AssetID,Traffic Calming Category,Asset Code,Asset Owner,General Location,Install Year,Material,Asset Description,Asset Status,Location,Maintained By,Add Date,Modified Date,Source Date,Data Source,Source Accuracy,x,y
beb49c4e-fa6a-4a7e-b6b6-c155a6720f7d,15,TRCLM2140,TRCLM2140,HORIZ,BMPOUT,HRM,ROW,,ASPH,,INS,LAKECREST DR,HRM,6/20/2024 5:40:17 PM,6/20/2024 5:40:17 PM,6/20/2024 5:30:00 PM,Traffic Management,PH,-7072970.2925,5571766.93
6c8f4659-43c3-47dd-a857-247e0e6fc756,16,TRCLM149,TRCLM149,VERTI,SPDHMP,HRM,ROW,2019,ASPH,,INS,COLINDALE ST,HRM,10/7/2021 3:57:03 PM,10/7/2021 4:01:25 PM,,Traffic Management,,-7081161.0845,5563161.5199
b16b3582-04a9-4385-84de-ed22cb7d191a,17,TRCLM517,TRCLM517,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,JOFFRE ST,HRM,11/16/2021 9:08:02 PM,11/16/2021 9:08:53 PM,11/16/2021 4:00:00 AM,Traffic Management,,-7074803.864,5570383.6158
eaf2119c-4e41-4ceb-ab7d-4cd4df3453fb,18,TRCLM315,TRCLM315,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ANDERSON ST,HRM,10/27/2021 2:38:33 PM,12/14/2022 4:46:15 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7071012.1602,5570734.4626
a89a4a69-fbea-40ab-8f6d-565c3ab636e8,19,TRCLM1623,TRCLM1623,VERTI,SPDTBL,HRM,ROW,2024,ASPH,,INS,White Glove Terrace,HRM,6/22/2023 5:48:30 PM,12/13/2024 6:49:16 PM,,,,-7083514.7199,5565122.5862
0898b4b6-13a2-4a92-a029-0885f7e7252f,21,TRCLM820,TRCLM820,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,WILDWOOD BLVD,HRM,11/23/2021 5:33:31 PM,12/3/2021 7:40:28 PM,11/23/2021 4:00:00 AM,Traffic Management,,-7068697.3896,5572211.6769
afa0d321-48f9-4843-8bb2-e253ea6cf041,23,TRCLM428,TRCLM428,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,ROBERT ST,HRM,11/15/2021 9:07:18 PM,11/15/2021 9:07:55 PM,11/15/2021 4:00:00 AM,Traffic Management,,-7079797.3555,5593598.2898
24ab2200-109b-4b0e-a350-2e3dd0136f18,25,TRCLM189,TRCLM189,VERTI,SPDHMP,HRM,ROW,2020,ASPH,,INS,WINLEY DR,HRM,10/7/2021 3:57:03 PM,8/29/2024 3:30:26 PM,,Traffic Management,,-7083513.5359,5587704.205
3dc5c3b7-a5a9-4768-8a4f-3ffbd1071ab2,26,TRCLM873,TRCLM873,VERTI,SPDHMP,HRM,ROW,2023,ASPH,,INS,SYCAMORE LANE,HRM,12/8/2021 7:23:41 PM,5/10/2024 3:36:59 PM,,,,-7089029.4803,5586080.2571
4f5b4908-0116-4ee1-88a3-66a9a8cdf032,28,TRCLM497,TRCLM497,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,HEMLOCK DR,HRM,11/16/2021 5:27:03 PM,11/16/2021 5:27:35 PM,11/16/2021 4:00:00 AM,Traffic Management,,-7109719.5548,5576748.4745
ef52773c-5b03-4e21-b60e-12d8b306871b,30,TRCLM661,TRCLM661,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,HENRY AVE,HRM,11/19/2021 9:21:18 PM,9/29/2022 9:24:31 PM,4/14/2022 3:00:00 AM,Traffic Management,,-7080083.1228,5594070.0233
299f840a-7fb9-4f23-8215-5df954993745,31,TRCLM1128,TRCLM1128,VERTI,SPDTBL,HRM,ROW,2023,ASPH,,INS,St. Pauls Ave,HRM,7/7/2022 8:57:31 PM,4/25/2024 7:12:39 PM,,Traffic Management,PH,-7075717.5733,5554117.5964
e39f7779-381e-4d8a-b3b8-bbf028c42e9a,34,TRCLM1079,TRCLM1079,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,ST GEORGE BLVD,HRM,4/13/2022 5:11:50 PM,10/26/2022 9:31:03 PM,4/13/2022 3:00:00 AM,Traffic Management,,-7097320.3397,5576862.0526
caf1c920-b879-45d7-83d4-919f75ba4d52,35,TRCLM696,TRCLM696,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,MICMAC DR,HRM,11/19/2021 10:21:44 PM,12/14/2022 10:06:53 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7073770.8195,5573682.0637
f953db29-5f04-4db8-b565-bd7e968bc614,36,TRCLM441,TRCLM441,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FENERTY RD,HRM,11/15/2021 10:13:14 PM,5/2/2024 4:56:38 PM,11/15/2021 4:00:00 AM,Traffic Management,,-7095258.5887,5590898.3896
b328f526-c68d-4497-b369-27d9723b2327,37,TRCLM785,TRCLM785,VERTI,SPDTBL,HRM,ROW,2022,ASPH,,INS,JOHN STEWART DR,HRM,11/22/2021 6:02:41 PM,12/14/2022 6:51:36 PM,6/3/2022 3:00:00 AM,Traffic Management,,-7066408.2666,5570194.9477
71035b06-b1c1-4c26-905f-5c557031349c,38,TRCLM628,TRCLM628,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FLYING CLOUD DR,HRM,11/19/2021 7:24:14 PM,11/19/2021 7:24:52 PM,11/19/2021 4:00:00 AM,Traffic Manangent,,-7068126.5696,5571557.7876
20e4a93a-140f-4db5-80a1-1ab402405769,39,TRCLM611,TRCLM611,VERTI,SPDTBL,HRM,ROW,2021,ASPH,,INS,FLAGSTONE DR,HRM,11/18/2021 10:51:56 PM,11/18/2021 10:52:47 PM,11/18/2021 4:00:00 AM,Traffic Management,,-7067608.2073,5568586.5611
